# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sun, 19 Sep 2021 03:04:46 +0200
#
# IP	number of (black)lists
#
179.43.141.99	9
171.25.193.25	9
107.189.3.160	8
171.25.193.77	8
60.8.87.190	8
202.29.214.13	8
222.187.232.60	8
192.160.102.170	8
91.219.237.21	8
185.100.87.72	8
141.98.10.125	8
141.98.10.179	8
167.86.71.45	8
176.10.99.200	8
185.31.175.228	7
185.31.175.226	7
128.31.0.13	7
80.82.77.33	7
5.183.209.217	7
89.234.157.254	7
222.186.30.112	7
209.141.57.50	7
185.107.47.215	7
205.185.127.100	7
199.195.252.247	7
162.247.74.74	7
5.2.69.50	7
107.189.8.8	7
80.82.77.139	7
221.181.185.94	7
185.107.47.171	7
185.220.100.253	7
185.220.100.254	7
141.98.10.121	7
45.128.133.242	7
198.96.155.3	7
91.149.225.131	7
185.220.102.4	7
185.130.44.108	7
199.195.248.37	7
77.247.181.163	7
60.170.247.162	7
209.141.32.151	7
222.187.227.122	7
93.174.95.106	7
185.31.175.235	7
221.131.165.33	7
178.73.215.171	7
171.25.193.20	7
222.187.254.41	7
176.10.104.240	7
185.191.124.143	7
213.202.216.189	7
80.67.172.162	7
8.209.91.186	7
64.113.32.29	7
222.187.232.39	7
222.168.30.19	7
199.195.250.77	7
222.186.30.76	7
209.141.48.211	7
205.185.114.54	7
185.31.175.215	7
105.203.195.68	7
45.153.160.132	7
45.153.160.137	7
149.202.238.204	7
185.220.100.241	7
81.161.63.100	7
89.163.252.12	7
185.31.175.243	7
185.31.175.247	7
117.248.249.70	7
89.163.243.88	7
107.173.209.244	7
209.141.34.36	7
185.100.87.202	7
89.163.252.230	6
185.31.175.220	6
209.141.59.252	6
162.247.74.202	6
162.247.74.200	6
162.247.74.206	6
210.21.226.2	6
221.181.185.198	6
71.6.199.23	6
152.136.157.234	6
221.181.185.19	6
195.176.3.24	6
185.31.175.207	6
51.210.80.127	6
209.141.54.115	6
94.102.49.193	6
209.141.32.215	6
185.220.102.247	6
185.220.102.243	6
116.98.160.162	6
88.9.119.217	6
136.144.41.152	6
209.141.54.139	6
185.83.214.69	6
205.185.116.145	6
185.220.103.8	6
171.25.193.78	6
5.104.110.89	6
185.181.102.18	6
221.131.165.40	6
185.220.101.7	6
185.220.101.4	6
185.220.101.1	6
23.129.64.154	6
23.129.64.151	6
109.69.67.17	6
209.141.45.121	6
45.61.184.15	6
101.69.200.162	6
209.141.33.34	6
71.6.146.185	6
185.100.87.139	6
112.95.225.158	6
198.98.50.192	6
178.20.55.16	6
209.141.51.68	6
45.153.160.2	6
5.199.143.202	6
222.186.42.213	6
185.42.170.203	6
221.181.185.140	6
222.186.42.137	6
209.127.17.242	6
45.153.160.129	6
27.115.124.37	6
27.115.124.36	6
185.220.100.252	6
185.220.100.255	6
81.161.63.253	6
188.166.5.18	6
185.107.70.202	6
185.31.175.252	6
91.203.146.126	6
94.230.208.147	6
164.177.78.185	6
89.248.167.131	6
198.144.120.234	6
166.70.207.2	6
107.189.31.248	6
81.68.135.238	6
209.141.58.77	6
176.111.173.156	6
139.59.8.10	6
27.115.124.75	6
103.43.185.166	6
182.73.123.118	6
91.219.236.197	6
77.247.181.165	6
27.115.124.99	6
185.31.175.213	6
66.240.219.146	6
185.100.87.129	6
104.131.161.146	6
179.43.147.67	6
162.247.74.27	6
222.186.180.130	6
185.31.175.231	6
91.219.236.228	6
162.247.74.217	6
209.141.55.247	6
107.189.29.207	6
222.186.42.7	6
198.144.120.177	6
106.51.80.198	6
71.6.146.130	6
46.232.251.191	6
195.176.3.19	6
122.154.72.102	6
162.247.74.7	6
206.189.104.122	6
185.220.102.254	6
185.220.102.251	6
185.220.102.250	6
185.100.86.182	6
209.141.55.232	6
221.131.165.56	6
205.185.126.99	6
209.141.36.53	6
149.3.170.147	6
89.163.252.30	6
221.181.185.151	6
221.181.185.159	6
45.153.160.133	6
65.49.20.69	6
185.220.100.243	6
185.220.100.240	6
185.220.100.249	6
61.76.169.138	6
205.185.113.236	6
80.82.70.228	6
185.31.175.240	6
89.97.218.142	6
109.227.63.3	6
210.206.92.137	6
173.249.25.188	6
185.220.100.242	6
162.247.73.192	6
185.142.236.34	6
221.181.185.135	6
209.141.59.180	6
185.220.101.148	6
222.186.42.13	6
163.172.213.212	6
51.254.143.96	6
213.61.215.54	6
67.207.91.111	5
85.202.80.35	5
196.0.105.5	5
154.89.127.66	5
82.64.32.76	5
101.33.120.154	5
106.13.212.203	5
129.28.165.213	5
139.59.228.214	5
192.241.213.192	5
185.6.91.219	5
40.73.119.184	5
110.35.173.103	5
106.13.144.207	5
106.12.46.26	5
81.68.200.73	5
42.200.71.74	5
206.189.200.15	5
119.97.252.154	5
118.68.169.168	5
104.236.109.59	5
165.22.120.146	5
148.72.245.63	5
124.43.9.184	5
106.51.78.188	5
106.12.58.113	5
104.128.92.120	5
60.30.98.194	5
180.250.248.169	5
107.189.11.153	5
211.218.145.195	5
188.126.89.144	5
162.247.74.204	5
121.131.164.62	5
203.190.153.22	5
192.241.216.207	5
106.13.27.134	5
106.245.95.116	5
167.99.44.117	5
138.197.203.251	5
125.99.173.162	5
31.42.185.24	5
179.27.66.74	5
62.122.156.74	5
1.15.223.171	5
165.22.236.96	5
82.65.173.65	5
167.172.170.145	5
175.27.236.167	5
106.12.5.190	5
91.138.27.127	5
212.230.159.248	5
42.193.110.36	5
36.134.61.13	5
116.247.81.99	5
58.57.15.29	5
107.189.6.236	5
103.60.172.75	5
41.215.138.42	5
211.253.10.96	5
178.62.81.36	5
37.0.10.41	5
113.31.114.128	5
206.189.132.8	5
206.189.210.140	5
101.34.32.243	5
139.59.102.170	5
2.42.138.122	5
211.241.177.69	5
89.163.249.244	5
109.70.100.26	5
109.70.100.28	5
107.189.3.220	5
58.33.49.196	5
185.38.3.138	5
